name,brand,sale,processor_type,processor,fab,ram_type,rom_type,display_type,size,curved_display,refresh_rate,hbm,protection,ppi,battery,charging_speed,thickness,back_material,frame_material,weight,launch_date,camera_number,useful_camera_number,main,camera_sensor_name,ultrawide,third,third_mp,fourth,fourth_mp,rear_video,front,front_video,colors,antutu,geekbench_single,geekbench_multiple,speaker,wireless_charging,ip_rating,price
Redmi 15,Xiaomi,Offline,Snapdragon,6s Gen 3,6,LPDDR4X,UFS 2.2,IPS LCD,6.9,0,144,850,"Corning, GG 3",374,7000,33,8.4,Plastic,Plastic,219,19-08-2025,2,1,50,,,Useless,2,,,"1, 30",8,"1, 30",3,451225,926,2228,Mono,0,64,20500
Redmi 15C,Xiaomi,Offline,Mediatek,Dimensity 6300,6,LPDDR4X,UFS 2.2,IPS LCD,6.9,0,120,810,,254,6000,33,8,Plastic,Plastic,211,03-12-2025,2,1,50,,,Useless,2,,,"1, 30",8,"1, 30",3,467924,407,1368,Mono,0,64,17000
Redmi A7,Xiaomi,Both,Unisoc,T7250,6,LPDDR4X,UFS 2.2,IPS LCD,6.88,0,120,600,,260,5200,15,8.3,Plastic,Plastic,193,21-04-2026,1,1,13,,,,,,,"1, 30",8,"1, 30",2,341105,433,1422,Mono,0,52,11500
Redmi A7 Pro,Xiaomi,Both,Unisoc,T8300,6,LPDDR4X,UFS 2.2,IPS LCD,6.9,0,120,800,,254,6300,15,8.2,Plastic,Plastic,210,21-04-2026,1,1,32,,,,,,,"1, 30",8,"1, 30",3,646000,876,2069,Stereo,0,52,15000
Redmi Note 12 ,Xiaomi,Offline,Snapdragon,4 Gen 1,6,LPDDR4X,UFS 2.2,Amoled,6.67,0,120,700,"Corning, GG 3",395,5000,33,8,Plastic,Plastic,188,05-01-2023,3,2,48,,8,Useless,2,,,"1, 30",13,"1, 30",3,360745,862,2017,Mono,0,53,18000
Redmi Note 12 Pro,Xiaomi,Offline,Mediatek,Dimensity 1080,6,LPDDR4X,UFS 2.2,Amoled,6.67,0,120,900,"Corning, GG 5",395,5000,67,8,Glass,Plastic,187,05-01-2023,3,2,50,Sony IMX 766,8,Useless,2,,,"4, 30",16,"1, 60",3,490526,961,2208,Stereo,0,53,27000
Redmi Note 12 Pro+,Xiaomi,Offline,Mediatek,Dimensity 1080,6,LPDDR4X,UFS 2.2,Amoled,6.67,0,120,900,"Corning, GG 5",395,5000,120,8.9,Glass,Plastic,208,05-01-2023,3,2,108,Samsung HPX,8,Useless,2,,,"4, 30",16,"1, 60",3,498710,983,2208,Stereo,0,53,30000
Redmi Note 13,Xiaomi,Offline,Mediatek,Dimensity 6080,6,LPDDR4X,UFS 2.2,Amoled,6.67,0,120,1200,"Corning, GG 5",395,5000,33,7.6,Plastic,Plastic,174,04-01-2024,3,2,108,Samsung,8,Useless,2,,,"1, 30",16,"1, 30",3,453830,737,1905,Stereo,0,54,17000
Redmi Note 13 Pro,Xiaomi,Offline,Snapdragon,7s Gen 2,4,LPDDR4X,UFS 2.2,Amoled,6.67,0,120,1200,"Corning, GG Victus",446,5100,67,8,Glass,Plastic,187,04-01-2024,3,2,200,Samsung,8,Useless,2,,,"4, 30",16,"1, 30",3,581979,1024,2751,Stereo,0,54,26000
Redmi Note 13 Pro+,Xiaomi,Offline,Mediatek,Dimensity 7200,4,LPDDR5,UFS 3.1,Amoled,6.67,1,120,1200,"Corning, GG Victus",446,5000,120,8.9,Glass,Plastic,204,04-01-2024,3,2,200,Samsung HP 3,8,Useless,2,,,"4, 30",16,"1, 60",3,779812,1127,2597,Stereo,0,68,32000
